cell_type,patient,k,mean_dist,sd_dist,n_cells
mast,Lung9,5,238.121854577951,149.06689562485,852
epithelial,Lung9,6,338.744720763823,201.299560588969,5685
neutrophil,Lung9,6,213.966820135378,137.039846420699,17197
fibroblast,Lung9,6,237.36029135321,137.930615631395,21893
endothelial,Lung9,6,312.511205328963,184.959188319686,7730
T CD8 memory,Lung9,6,220.576455869862,158.214522916818,1726
B-cell,Lung9,6,299.026062046561,167.867597876513,1628
T CD4 memory,Lung9,6,235.830174771325,138.060360822237,5724
T CD4 naive,Lung9,6,337.29169187294,190.1865890907,1287
NK,Lung9,6,236.473685997187,154.675816804346,1928
monocyte,Lung9,6,347.637065093599,196.684171534692,2201
macrophage,Lung9,6,337.778075677605,209.750398390029,5649
plasmablast,Lung9,6,267.38994276564,126.986547818305,8683
Treg,Lung9,6,252.714007267948,140.795671265999,2985
T CD8 naive,Lung9,6,297.409658587185,172.984029105972,2276
mDC,Lung9,6,387.199294399699,195.260241032289,1099
pDC,Lung9,6,286.285958781177,157.168214169967,2323
mast,Lung9,6,254.093645677387,158.586652123225,852
epithelial,Lung9,7,360.906995807928,211.80907738732,5685
neutrophil,Lung9,7,228.239971162522,144.666171979764,17197
fibroblast,Lung9,7,248.440565296973,144.330390270086,21893
endothelial,Lung9,7,330.507376261722,195.328072928683,7730
T CD8 memory,Lung9,7,232.670338913514,166.230666042134,1726
B-cell,Lung9,7,315.622603261783,175.732611839911,1628
T CD4 memory,Lung9,7,246.545870055195,143.82303149323,5724
T CD4 naive,Lung9,7,357.025788132383,199.751161571474,1287
NK,Lung9,7,251.349261226312,163.449333581478,1928
monocyte,Lung9,7,368.801502296487,207.194119924891,2201
macrophage,Lung9,7,356.726349091591,220.902003355203,5649
plasmablast,Lung9,7,279.389422358962,132.276677056939,8683
Treg,Lung9,7,265.687827035181,147.256139046282,2985
T CD8 naive,Lung9,7,314.725482391423,182.147521797405,2276
mDC,Lung9,7,410.641782576536,206.549954712508,1099
pDC,Lung9,7,299.784925792883,164.270172629017,2323
mast,Lung9,7,268.465726904306,167.133267110032,852
epithelial,Lung9,8,381.722419076171,222.038348328548,5685
neutrophil,Lung9,8,241.643182749181,151.927498470731,17197
fibroblast,Lung9,8,258.663346916222,150.409279407414,21893
endothelial,Lung9,8,347.233410314763,205.327388179303,7730
T CD8 memory,Lung9,8,243.942617302708,173.842895982979,1726
B-cell,Lung9,8,330.936038229433,183.226533892483,1628
T CD4 memory,Lung9,8,256.393046430188,149.313242867289,5724
T CD4 naive,Lung9,8,375.376134154918,208.780474032236,1287
NK,Lung9,8,265.171549943609,171.816277161334,1928
monocyte,Lung9,8,388.474607376962,217.389895116579,2201
macrophage,Lung9,8,374.37644269496,231.516655488748,5649
plasmablast,Lung9,8,290.518409225549,137.449004878463,8683
Treg,Lung9,8,277.640763318769,153.475501847449,2985
T CD8 naive,Lung9,8,330.844481948438,190.950640173337,2276
