cell_type,pathway,pathway_clean,pval,padj,ES,NES,size,leadingEdge
T CD8 memory,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,Epithelial Mesenchymal Transition,0.793454935622318,0.940954666209615,-0.245810055865922,-0.781544303316336,19,"TNFRSF12A,VEGFA,CXCL1,EMP3,SAT1,IL6,TGFB1,SPP1,CD44,FAS,CXCL12,TIMP1,VEGFC,IL32,LGALS1,BGN,TNFRSF11B,IL15,VIM"
T CD8 memory,HALLMARK_IL6_JAK_STAT3_SIGNALING,Il6 Jak Stat3 Signaling,0.823335332933413,0.940954666209615,-0.213262967161457,-0.788862899093455,35,"OSMR,TNFRSF12A,CXCL1,CCL7,IFNAR1,IFNGR2,TNF,IL18R1,CSF1,TYK2,CXCL3"
T CD8 memory,HALLMARK_APOPTOSIS,Apoptosis,0.991478617642418,0.991478617642418,0.172944543104202,0.517567212549438,22,"IL18,IL1A,CD2,BGN,TNFSF10,TIMP1,IFNB1,IFNGR1,GPX1,FAS,SQSTM1,CD44"
T CD8 naive,HALLMARK_IL6_JAK_STAT3_SIGNALING,Il6 Jak Stat3 Signaling,0.266351690535952,0.884770889487871,-0.359629674856739,-1.14308534642282,34,"CXCL3,CXCL9,CXCL1,CSF1,IL6ST,IL17RB,TNF,IL6,CCL7,IL2RG,CSF2RB,TNFRSF12A,TYK2,FAS,IFNGR2"
T CD8 naive,HALLMARK_TNFA_SIGNALING_VIA_NFKB,Tnfa Signaling via Nfkb,0.366195085629188,0.884770889487871,-0.344665366087883,-1.07033375689918,30,"CXCL3,CXCL1,CSF1,CCL20,IL1A,IL6ST,TNF,ACKR3,IL6,TNFSF9"
T CD8 naive,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,Epithelial Mesenchymal Transition,0.404593094944513,0.884770889487871,-0.356216448356072,-1.04271993554503,23,"CXCL1,SPP1,VEGFC,TPM2,FN1,TNFRSF11B,IL6,TNFRSF12A,FAS,LGALS1,COL1A1"
T CD8 naive,HALLMARK_ALLOGRAFT_REJECTION,Allograft Rejection,0.442385444743935,0.884770889487871,0.259416330571687,1.00608869485903,47,"CD40LG,LTB,IL15,HLA-A,TGFB2,IL16,CCR2,PTPRC"
T CD8 naive,HALLMARK_INFLAMMATORY_RESPONSE,Inflammatory Response,0.659754672897196,0.941276202219482,-0.273769372327774,-0.882389508446473,36,"CXCL9,TNFSF10,CSF1,CX3CL1,CCL20,IL10,IL1A"
T CD8 naive,HALLMARK_APOPTOSIS,Apoptosis,0.722590593677718,0.941276202219482,-0.287293911199603,-0.822380647259122,21,"TNFSF10,IL1A,IFNB1,TNF,IL6,TNFRSF12A,FAS,GPX1"
T CD8 naive,HALLMARK_IL2_STAT5_SIGNALING,Il2 Stat5 Signaling,0.848634469989199,0.941276202219482,-0.251465603643839,-0.727311548147181,22,"TNFSF10,SPP1,CSF1,IL10"
T CD8 naive,HALLMARK_INTERFERON_GAMMA_RESPONSE,Interferon Gamma Response,0.941276202219482,0.941276202219482,-0.213845916740976,-0.625971657259993,23,"CXCL9,TNFSF10,IL6,CCL7,CSF2RB,IL2RB,FAS,GZMA"
Treg,HALLMARK_IL2_STAT5_SIGNALING,Il2 Stat5 Signaling,0.076219512195122,0.657564575645757,-0.401981187807421,-1.35210927702884,33,"IL10,IL2RA,TNFRSF1B,IL1R2,SPP1,IGF2R,ICOS,IL18R1,TNFRSF4,CTLA4,CD83,IL1RL1,BCL2L1,TNFRSF9,IL2RB,IFITM3,BCL2,TNFRSF18,FLT3LG"
Treg,HALLMARK_ALLOGRAFT_REJECTION,Allograft Rejection,0.119557195571956,0.657564575645757,0.335925891939582,1.24840398725603,61,"IL12A,CCL5,TGFB2,STAT4,FYB1,CXCL9,CCL11,HLA-DRA,IL18,HLA-DQA1,CD40LG,IFNGR2,ETS1"
Treg,HALLMARK_ESTROGEN_RESPONSE_LATE,Estrogen Response Late,0.222006890611542,0.741779676760171,-0.438187045171449,-1.20605095918209,15,"SERPINA1,CXCL14,DUSP2,IL17RB,FABP5,CAV1,BCL2"
Treg,HALLMARK_HYPOXIA,Hypoxia,0.276290426215464,0.741779676760171,-0.393972306583708,-1.14217530522842,18,"VEGFA,IL6,TGFB3,ANXA2,MT2A,ACKR3,CAV1,BCL2"
Treg,HALLMARK_COMPLEMENT,Complement,0.348220064724919,0.741779676760171,-0.384691050186753,-1.08075133856886,16,"SERPINA1,LGALS3,IL6,FN1"
Treg,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,Epithelial Mesenchymal Transition,0.410278745644599,0.741779676760171,-0.30560078173655,-1.0279228595424,33,"VEGFA,IL15,IL6,FN1,SPP1,CALD1"
Treg,HALLMARK_INFLAMMATORY_RESPONSE,Inflammatory Response,0.472041612483745,0.741779676760171,-0.281271551939918,-0.989717611829258,41,"IL10,IL15,CCL7,TNFRSF1B,CD40,IL6,OSMR"
Treg,HALLMARK_TNFA_SIGNALING_VIA_NFKB,Tnfa Signaling via Nfkb,0.595989602673598,0.801459377042039,0.266544306850299,0.922715388394909,42,"CCL5,CSF2,CD69,IL7R,IL18,IFNGR2,IL6ST"
Treg,HALLMARK_INTERFERON_GAMMA_RESPONSE,Interferon Gamma Response,0.706099815157117,0.801459377042039,0.257955381499701,0.848993597107855,33,"CCL5,STAT4,CD69,CXCL9"
Treg,HALLMARK_IL6_JAK_STAT3_SIGNALING,Il6 Jak Stat3 Signaling,0.728599433674581,0.801459377042039,-0.245454135865137,-0.853296611915528,39,"IL2RA,CCL7,TNFRSF1B,IL1R2,IL6,OSMR"
Treg,HALLMARK_APOPTOSIS,Apoptosis,0.830740740740741,0.830740740740741,0.232018474004531,0.786368456397841,38,"IFNB1,TGFB2,CD69"
endothelial,HALLMARK_INTERFERON_GAMMA_RESPONSE,Interferon Gamma Response,0.00483282325994021,0.135319051278326,0.348522850348607,1.61173127188292,57,"MT2A,CD274,VCAM1,ICAM1,GZMA,IFI27,IFITM3,CD69,CD86,IL6,NFKBIA,CMKLR1,IFIT1,JAK2,CSF2RB,CDKN1A,STAT4,CIITA"
endothelial,HALLMARK_KRAS_SIGNALING_DN,Kras Signaling Dn,0.0194707938092861,0.272591113330005,-0.571764492607536,-1.57026102477598,19,"EGF,KRT4,CELSR2,KRT5,GDNF,CD80,KRT13,IFNG,CNTFR,CD40LG,TGFB2,TCL1A"
