gene,sample_id,coef,se,n_cells,pval,dispersion
AR,Lung12,0.000602457860209544,0.000475215259752208,16548,0.20488445058752,0.463037960333006
AR,Lung13,0.000756112983420473,0.000866995873758312,13609,0.383150125428898,0.219563493505522
AREG,Lung5,0.000813039308574706,0.000408528755387246,37735,0.0465728492142516,0.314601290722315
AREG,Lung6,-0.00203845211999647,0.00227986707251739,3252,0.371262999080219,0.169026070920256
AREG,Lung9,-0.00273154731967206,0.000692566498662912,21893,8.01022610210649e-05,0.221131524346717
AREG,Lung12,-0.00186228857242191,0.00039380465728059,16548,2.25666907404296e-06,0.568652533375508
AREG,Lung13,-0.0101081054406186,0.000645562782549851,13609,2.93799261112937e-55,0.330700708506897
ARF1,Lung5,-0.000460997470216912,0.000150192512153925,37735,0.0021450558113338,0.900220558072798
ARF1,Lung6,-0.00104281985041665,0.000788608543445774,3252,0.18605021934036,0.624926907882539
ARF1,Lung9,-0.00207781457690275,0.000338505553348041,21893,8.3462072852793e-10,0.518577326217044
ARF1,Lung12,-0.000653047564456732,0.000292795280878177,16548,0.025721585996353,0.748496165536866
ARF1,Lung13,-0.00186698263348735,0.000318238053084028,13609,4.44760769389771e-09,0.71220906153679
ARHGDIB,Lung5,0.000996985813217889,0.000249019893488458,37735,6.2375464844497e-05,0.600061991419404
ARHGDIB,Lung6,0.00183092624006148,0.00100072198928501,3252,0.0673089829426292,0.473521615126613
ARHGDIB,Lung9,0.00320538485020776,0.000689075230510322,21893,3.29178259693776e-06,0.209547382607049
ARHGDIB,Lung12,0.000410027897702459,0.0004611601328133,16548,0.373937192523166,0.4702855549472
ARHGDIB,Lung13,0.00206082409454019,0.000469067137704767,13609,1.11564677407535e-05,0.498847113293857
